image,boxes0,boxes1,boxes2,boxes3,boxes4
,265.0,372.0,308.0,414.0,0.33860543370246887
,538.0,370.0,565.0,403.0,0.3495471477508545
,197.0,-1.0,228.0,13.0,0.3535507917404175
,128.0,445.0,196.0,485.0,0.3692954182624817
,385.0,176.0,404.0,198.0,0.37406468391418457
,259.0,391.0,304.0,452.0,0.37885016202926636
,207.0,440.0,238.0,470.0,0.3813916742801666
,619.0,393.0,643.0,420.0,0.3879321217536926
,306.0,105.0,332.0,128.0,0.389016330242157
,323.0,108.0,353.0,137.0,0.41579267382621765
,175.0,477.0,200.0,504.0,0.43030816316604614
,31.0,546.0,63.0,570.0,0.4335067868232727
,471.0,150.0,494.0,170.0,0.4481198787689209
,197.0,512.0,224.0,535.0,0.46024754643440247
,236.0,31.0,268.0,60.0,0.4707527756690979
,553.0,624.0,591.0,641.0,0.4741388261318207
,228.0,94.0,250.0,113.0,0.48996272683143616
,190.0,0.0,230.0,12.0,0.523761510848999
,388.0,78.0,417.0,106.0,0.5436198115348816
,282.0,494.0,323.0,532.0,0.5714640617370605
,196.0,465.0,241.0,507.0,0.5955005884170532
,262.0,420.0,306.0,456.0,0.6025558114051819
,544.0,389.0,573.0,415.0,0.6452782154083252
,571.0,379.0,604.0,408.0,0.6500586271286011
,533.0,367.0,563.0,395.0,0.6726788282394409
,248.0,0.0,292.0,40.0,0.6859460473060608
,323.0,131.0,356.0,160.0,0.7016733884811401
,216.0,5.0,252.0,41.0,0.7036797404289246
,154.0,413.0,190.0,446.0,0.7056901454925537
,356.0,82.0,392.0,115.0,0.7156856656074524
,510.0,385.0,544.0,417.0,0.7217904329299927
,610.0,510.0,641.0,544.0,0.7290456891059875
,462.0,167.0,489.0,194.0,0.7448475956916809
,259.0,380.0,304.0,419.0,0.8136884570121765
,434.0,151.0,471.0,183.0,0.8165489435195923
,588.0,502.0,621.0,532.0,0.8186792135238647
,294.0,403.0,338.0,444.0,0.843063473701477
,229.0,441.0,278.0,485.0,0.8455991148948669
,341.0,437.0,395.0,483.0,0.8524979948997498
,0.0,45.0,51.0,98.0,0.8622020483016968
,274.0,444.0,331.0,492.0,0.8909573554992676
,173.0,437.0,213.0,472.0,0.892212450504303
,136.0,445.0,179.0,484.0,0.9007353186607361
,232.0,477.0,290.0,526.0,0.9029063582420349
IMG_1039.jpg.4b38c9mm.ingestion-55b478f466-w9ws7.jpg,33.0,102.0,480.0,587.0,1.0
,40.0,439.0,76.0,474.0,0.30611133575439453
,173.0,102.0,223.0,178.0,0.5528064966201782
,280.0,100.0,347.0,155.0,0.6082029342651367
,272.0,338.0,321.0,386.0,0.7964087128639221
,424.0,501.0,486.0,564.0,0.8098719120025635
,214.0,257.0,262.0,303.0,0.8230432271957397
,391.0,536.0,453.0,589.0,0.8250918388366699
,230.0,301.0,294.0,366.0,0.8509726524353027
,344.0,375.0,427.0,446.0,0.8655460476875305
,152.0,198.0,220.0,262.0,0.8734838962554932
,300.0,283.0,362.0,343.0,0.8834871649742126
,179.0,152.0,229.0,196.0,0.8860952854156494
,165.0,105.0,221.0,158.0,0.8930502533912659
